name,latitude,longitude,free_bikes
"300039 - Wendon Street, Old Ford",51.53603947,-0.026262677,1
"300041 - Finnis Street, Bethnal Green",51.52458353,-0.058631453,3
"300053 - Stephendale Road, Sands End",51.46822047,-0.190346493,6
"300046 - Alma Road, Wandsworth",51.45799126,-0.184806157,5
"300050 - Walworth Square, Walworth",51.491327,-0.096518684,16
"300047 - Alfreda Street, Battersea Park",51.47505096,-0.150908371,1
"300044 - Putney Bridge Road, East Putney",51.46199911,-0.206240805,9
"300043 - St. Peter's Terrace, Fulham",51.47893931,-0.208485293,9
"300082 - Bridge Avenue, Hammersmith",51.49208492,-0.229116862,18
"300083 - Duke Street Hill, London Bridge",51.50630441,-0.087262995,21
"300093 - Park Lane, Mayfair",51.50542628,-0.150817316,7
"200120 - Grant Road East, Clapham Junction",51.46489445,-0.17302926,28
"300088 - Queensdale Road, Shepherd's Bush",51.50659035,-0.216104479,20
"300086 - Fulham Broadway, Walham Green",51.47993289,-0.19411695,10
"300087 - Imperial Road, Sands End",51.47514228,-0.187278987,24
"300091 - Hortensia Road, West Brompton",51.48176572,-0.185273723,10
"300084 - Sirdar Road, Avondale",51.51092871,-0.214594781,15
"300085 - Freston Road, Avondale",51.5129814,-0.219486603,21
"300078 - Oxford Road, Putney",51.46079243,-0.212607684,6
"300077 - Ingrave Street, Clapham Junction",51.46745485,-0.172293499,13
"300075 - Upcerne Road, West Chelsea",51.47816972,-0.18243547,13
"300076 - Lots Road, West Chelsea",51.4795738,-0.17903854,3
"300089 - Ormonde Gate, Chelsea",51.48796408,-0.161765173,22
"300092 - Hertford Road, De Beauvoir Town",51.53727795,-0.079201849,8
"300081 - Haggerston Road, Haggerston",51.53932857,-0.074284675,34
"300080 - Culvert Road, Battersea",51.4710956,-0.157850096,4
"300074 - Newton Street, Covent Garden",51.51612862,-0.120909408,23
"300079 - London Street, Paddington",51.515117,-0.17371276,5
"300067 - Grenfell Road, Avondale",51.5129006,-0.214762686,17
"300058 - The Vale, Chelsea",51.48512191,-0.174971902,22
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,16
"300069 - Harcourt Terrace, West Brompton",51.48795853,-0.187404506,20
"300072 - Broadley Terrace, Marylebone",51.52456169,-0.165668686,11
"300068 - Humbolt Road, Fulham",51.48321729,-0.211860644,3
"300027 - Mile End Park Leisure Centre, Mile End",51.52059714,-0.032566533,5
"300064 - Ranelagh Gardens, Fulham",51.46760141,-0.20682737,38
"200079 - Ram Street, Wandsworth",51.45752945,-0.192165613,7
"200177 - Santos Road, Wandsworth",51.45705988,-0.200806304,5
"300001 - Sandilands Road, Walham Green",51.473611,-0.191803,16
"300097 - Gwendwr Road, West Kensington",51.491026,-0.209121,13
"300007 - Rifle Place, Avondale",51.509224,-0.216016,16
"300015 - Binfield Road, Stockwell",51.47250956,-0.122831913,18
"300098 - Hurlingham Park, Parsons Green",51.470131,-0.20464,9
"300101 - Little Brook Green, Brook Green",51.496664,-0.223868,24
"300100 - Limburg Road, Clapham Junction",51.4619230679,-0.165297856693,9
"300070 - Imperial Wharf Station, Sands End",51.474665,-0.18316517,12
"300032 - Victoria & Albert Museum, South Kensington",51.495898,-0.173009,30
"300210 - Halford Road, West Kensington",51.483911,-0.19760944,24
"300213 - Monier Road, Hackney Wick",51.5403115,-0.021630359,7
"300200 - East Village, Queen Elizabeth Olympic Park",51.546326,-0.00993526,1
"300233 - Aquatic Centre, Queen Elizabeth Olympic Park",51.54094,-0.010510565,63
"300227 - Timber Lodge, Queen Elizabeth Olympic Park",51.546805,-0.01469126,1
"300226 - Copper Box Arena, Queen Elizabeth Olympic Park",51.544909,-0.0205426,1
"300234 - Stratford Station, Stratford",51.541793,-0.00481,24
"300214 - Blackfriars Road, Southwark",51.505461,-0.10454093,18
"300205 - Cromer Street, Bloomsbury",51.528279,-0.11955857,23
"300204 - Victoria Rise, Clapham Common",51.461376,-0.14780467,8
"300201 - Coram Street, Bloomsbury",51.524,-0.12640984,16
"300211 - Ossulston Street, Somers Town",51.5293,-0.12827903,25
"300212 - Birkenhead Street, King's Cross",51.5301998755,-0.122299440803,20
"300202 - Kings Gate House, Westminster",51.4976984561,-0.137598896295,24
"300248 - Sopwith Way, Battersea Park",51.4811219398,-0.149035374873,19
"300208 - Lavington Street, Bankside",51.5052241745,-0.0980318118664,29
"300209 - Albert Square, Stockwell",51.4765900593,-0.118256789081,6
"300238 - Southwark Street, Bankside",51.5054099403,-0.0983410884509,21
"300243 - Good's Way, King's Cross",51.5346677396,-0.125078652873,20
"300244 - The Metropolitan, Portobello",51.520509,-0.20080483,9
"300241 - Handyside Street, King's Cross",51.5372405623,-0.124807385707,8
